textIntro.started,textIntro.stopped,respIntro.keys,respIntro.rt,respIntro.started,respIntro.stopped,ageinstr.started,ageinstr.stopped,age,text.started,text.stopped,eduinstr.started,eduinstr.stopped,text_2.started,text_2.stopped,edu_yrs,itemIndex,questions,ratings,rt,securityQinstr.started,securityQinstr.stopped,endtext.started,endtext.stopped,participant,date,expName,psychopyVersion,frameRate,
13.120292732739472,None,space,14.533523045523907,13.120292732739472,None,,,,,,,,,,,,,,,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,27.66988506919006,None,19,27.66988506919006,None,34.56991901206493,None,34.56991901206493,None,1,1,What gender do you identify as?,female,12.603674000463798,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,2,How skilled are you at using computer systems?,neutral,19.80664309290296,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,3,Which hand do you primarily use?,right,23.010001899674535,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,4,Is English your native language?,yes,36.55457153073803,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,5,Some people say you should be cautious about making major changes in life. Suppose these people are located at 1. Others say that you will never achieve much in life unless you act boldly. Suppose these people are located at 7. Others have views in between. Where would you place yourself on this scale?,5,18.801891231982154,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,6,"In general, it is easy for me to accept taking risks.",neither easy or difficult,23.48886422715441,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,7,It is likely that my computer will become infected with malware.,disagree,5.9206045740429545,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,8,I would like to explore strange places.,neutral,10.389728652662598,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,9,"I like new and exciting experiences, even if I have to break the rules.",agree,15.7103379060718,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,10,Ignoring malware warning screens can put important data at risk.,agree,23.54816841246793,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,11,"If my computer were infected by malware, it would be significant.",strongly agree,14.868397799160448,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,12,Ignoring malware warning screens will most likely cause security breaches.,disagree,14.96530878925114,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,13,"If my computer were infected by malware, it would be serious.",agree,19.09805722515739,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,14,Ignoring malware warning screens can cause damages to computer security.,agree,17.132525153341703,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,15,It is possible that my computer will become infected with malware,neutral,17.38145567383617,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,16,"If my computer were infected by malware, it would be severe.",neutral,21.700032755557913,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,17,I prefer friends who are exciting and unpredictable.,neutral,21.382892937515862,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,18,I like to do frightening things.,disagree,19.55194514946197,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,19,My computer is at risk for becoming infected with malware.,disagree,17.569898897767416,,,,,TSN_Pilot08,2020_Feb_14_1108,TSN_PostQ_Feb_13_2020,3.2.4,59.95006596407805,
,,,,,,,,,,,,,,,,,,,,113.00313021628244,None,204.4694505866064,None,,,,,,
